period,avg_interest_rate_all_loans_pct,buy_to_let_share_pct,fixed_rate_share_pct,gross_advances_gbp_m,house_purchase_share_pct,impaired_credit_history_pct,ltv_75_90_pct,ltv_90_95_pct,ltv_gt_90_pct,ltv_gt_95_pct,ltv_le_75_pct,net_advances_gbp_m,new_commitments_gbp_m,remortgage_share_pct,residential_loans_outstanding_gbp_m
2007-Q1,5.533,10.71,64.794,86432.163,50.8,3.589,37.24,8.518,8.784,5.619,48.622,33434.097,92314.725,41.16,1064363.837
2007-Q2,5.711,11.41,67.45,96694.881,54.34,3.417,37.653,9.29,9.204,5.471,47.587,37319.103,107704.912,38.42,1108071.119
2007-Q3,5.93,11.34,67.114,101979.98,55.21,3.581,37.052,8.269,8.849,6.057,48.622,39641.002,101262.507,37.88,1137898.315
2007-Q4,6.066,12.32,57.041,86608.823,53.59,3.228,37.137,7.781,8.475,5.545,49.537,29671.474,75797.33,39.46,1159861.965
2008-Q1,5.895,12.25,45.876,73365.331,42.77,2.399,34.776,6.395,6.905,4.173,54.656,24073.429,74749.157,49.29,1177761.935
2008-Q2,5.828,11.7,56.372,71629.616,44.35,2.156,33.94,7.284,7.039,3.109,55.668,21746.638,66851.909,48.02,1188616.579
2008-Q3,6.113,7.91,52.684,60583.695,37.56,1.585,29.257,5.087,4.165,1.395,64.261,13813.992,49768.852,54.65,1196460.161
2008-Q4,5.08,7.35,43.729,44823.241,38.19,0.932,28.875,4.581,3.609,1.347,65.197,8624.704,37474.23,53.52,1200716.183
2009-Q1,4.051,5.8,47.487,32588.306,36.84,0.728,22.995,2.512,1.889,0.893,73.6,1878.281,28746.395,52.1,1198412.793
2009-Q2,4.033,6.05,64.555,33799.533,50.67,0.423,23.238,1.907,1.556,0.801,74.054,5545.526,38811.364,39.2,1200934.023
2009-Q3,4.172,5.44,66.633,40330.642,57.35,0.33,24.625,1.094,1.012,0.509,73.772,6492.112,38127.371,33.94,1203367.755
2009-Q4,3.981,5.51,49.667,41246.305,61.99,0.328,26.524,0.911,0.846,0.559,72.006,7924.587,35798.264,29.72,1207300.824
2010-Q1,3.843,6.36,37.331,32050.568,57.61,0.354,25.361,1.007,0.878,0.586,73.046,3728.677,33751.396,33.24,1206133.192
2010-Q2,3.794,6.74,39.101,36472.24,61.18,0.392,27.09,1.614,1.221,0.486,70.81,5894.128,40601.073,30.35,1208954.075
2010-Q3,3.787,6.5,43.496,40827.545,63.63,0.369,27.798,1.759,1.349,0.569,69.874,8308.94,38075.236,28.53,1213372.891
2010-Q4,3.65,7.67,45.928,36814.947,60.63,0.32,27.388,1.578,1.209,0.599,70.435,1216.601,34600.256,31.36,1213054.239
2011-Q1,3.648,8.42,51.218,32984.725,53.89,0.327,24.178,1.248,0.889,0.467,74.108,1694.603,34884.278,38.3,1212437.427
2011-Q2,3.808,8.98,56.023,36554.241,59.13,0.355,28.55,1.483,0.878,0.369,69.598,7888.658,39576.837,33.6,1214655.119
2011-Q3,3.591,8.72,51.707,43568.227,60.5,0.37,28.729,1.356,0.896,0.352,69.563,6949.765,41833.13,32.77,1217622.167
2011-Q4,3.485,9.48,53.534,40107.073,61.26,0.355,30.537,1.452,1.048,0.388,67.623,4103.868,37045.063,32.2,1218462.922
2012-Q1,3.498,10.03,55.082,36442.684,59.38,0.289,29.435,1.945,1.309,0.365,68.255,2661.999,37050.701,33.49,1221480.541
2012-Q2,3.776,10.71,56.389,36926.808,62.45,0.272,30.323,1.76,1.32,0.638,67.279,4662.963,39810.945,30.82,1223477.111
2012-Q3,3.886,10.56,55.984,39595.182,66.3,0.252,29.578,1.873,1.378,0.444,68.104,5602.102,35934.485,27.13,1227319.002
2012-Q4,3.806,11.18,63.546,39397.195,66.11,0.29,31.651,1.712,1.225,0.372,66.264,4207.831,36885.163,27.79,1228664.642
2013-Q1,3.648,12.19,70.686,34044.484,63.0,0.258,30.877,1.627,1.271,0.478,67.018,1314.83,35525.352,29.55,1228627.074
2013-Q2,3.468,12.23,75.257,41673.78,64.73,0.211,32.244,2.092,1.601,0.449,65.215,5117.333,48141.055,28.19,1230403.305
2013-Q3,3.322,12.07,77.314,49570.122,67.38,0.199,32.703,1.734,1.321,0.424,65.14,7205.85,50520.37,26.5,1234449.165
2013-Q4,3.246,13.04,80.273,51491.136,68.07,0.199,33.243,1.725,1.487,0.404,64.628,8974.651,50356.32,26.43,1238923.328
2014-Q1,3.244,14.66,81.011,47097.301,66.17,0.196,31.637,3.078,2.604,0.458,64.827,7035.237,48854.73,27.33,1243557.079
2014-Q2,3.258,13.81,81.945,51518.104,69.93,0.188,30.862,4.162,3.355,0.426,64.551,8932.818,53482.17,24.05,1249870.169
2014-Q3,3.315,14.46,82.571,55910.718,71.63,0.198,31.47,4.027,3.116,0.342,64.161,11050.652,53683.317,23.03,1256161.466
2014-Q4,3.257,15.08,82.24,51371.767,70.87,0.221,31.565,3.466,2.547,0.332,64.637,8095.694,46236.67,23.62,1260123.294
2015-Q1,2.991,17.496,77.635,45593.342,66.514,0.194,28.991,3.111,2.288,0.411,67.487,6288.02,47209.401,26.591,1261592.528
2015-Q2,2.827,16.781,78.926,52564.001,68.278,0.198,30.382,3.534,2.559,0.302,65.783,9957.367,59564.667,25.433,1271957.41
2015-Q3,2.733,16.453,80.659,62095.996,70.771,0.189,31.226,3.241,2.432,0.241,65.292,13676.381,64120.228,23.508,1281952.557
2015-Q4,2.689,16.502,84.092,63090.045,69.705,0.256,30.509,3.181,2.467,0.244,66.066,14213.717,59463.693,24.607,1291408.823
2016-Q1,2.635,22.065,81.429,64015.298,69.764,0.237,29.048,2.674,2.051,0.27,68.008,13626.793,60572.531,24.492,1304746.968
2016-Q2,2.554,13.905,82.273,58037.382,63.745,0.261,30.88,3.97,3.035,0.221,64.928,11871.917,68108.783,29.227,1316335.304
2016-Q3,2.466,13.819,82.3,64447.772,66.578,0.252,31.108,4.509,3.461,0.291,64.092,13346.012,61026.31,27.572,1330802.397
2016-Q4,2.338,14.385,81.292,62772.619,66.526,0.234,30.563,4.025,3.132,0.392,65.02,11527.921,61704.766,27.15,1337867.863
2017-Q1,2.3,14.707,84.788,60435.915,61.794,0.228,28.947,3.741,2.933,0.249,67.063,9953.126,61509.744,31.308,1352773.133
2017-Q2,2.276,13.063,88.136,62586.376,66.659,0.27,31.061,4.453,3.564,0.272,64.214,11870.502,69094.828,27.494,1348201.892
2017-Q3,2.202,13.023,89.518,70719.892,66.466,0.271,31.423,4.04,3.182,0.25,64.286,16228.277,69182.564,28.1,1368207.101
2017-Q4,2.187,12.918,90.416,68963.54,65.064,0.32,31.451,3.512,2.752,0.295,64.742,11906.853,64875.187,29.359,1379177.814
2018-Q1,2.199,14.352,90.568,62436.475,61.249,0.293,30.569,3.086,2.418,0.224,66.122,8929.829,61002.641,32.64,1403345.981
2018-Q2,2.271,13.168,91.589,66729.277,63.169,0.591,32.285,3.622,2.791,0.178,63.914,13388.532,73180.942,30.646,1407436.617
2018-Q3,2.292,12.068,90.563,73454.664,64.003,0.609,33.856,3.975,3.098,0.246,61.922,13228.537,72960.111,30.298,1420209.567
2018-Q4,2.286,12.51,91.892,72875.539,63.499,0.62,33.397,4.105,3.187,0.203,62.295,13639.291,67876.238,31.05,1443817.872
2019-Q1,2.313,13.976,91.862,63368.348,60.069,0.609,32.529,4.321,3.378,0.187,62.963,9961.908,63747.993,33.312,1451829.184
2019-Q2,2.285,13.187,92.186,66088.26,63.66,0.552,34.159,5.221,4.097,0.279,60.341,13754.918,73363.516,29.53,1465597.798
2019-Q3,2.245,12.294,91.797,73303.859,65.532,0.579,35.223,5.668,4.482,0.253,58.855,16506.387,73813.961,28.011,1484893.204
2019-Q4,2.159,12.373,92.435,73466.502,64.484,0.638,34.792,5.451,4.304,0.267,59.491,14903.471,70616.924,29.188,1496908.514
2020-Q1,2.07,13.965,91.903,65818.022,60.795,0.607,32.755,4.948,3.981,0.281,62.016,10729.596,67336.593,32.139,1507722.891
2020-Q2,1.949,14.398,90.25,44159.88,55.915,0.503,31.569,4.566,3.732,0.284,63.581,2757.373,34420.936,37.827,1514824.144
2020-Q3,1.933,12.521,91.195,62527.45,68.323,0.431,36.072,3.205,2.798,0.31,60.413,13016.201,78867.025,24.978,1526030.843
2020-Q4,2.057,11.147,92.433,76601.634,75.058,0.372,38.755,1.058,0.935,0.16,60.027,20018.773,87734.811,18.45,1541448.967
2021-Q1,2.17,11.689,92.519,83175.142,75.828,0.374,35.721,0.957,0.821,0.147,63.175,21586.045,77363.966,18.009,1561572.821
2021-Q2,2.198,11.396,93.536,89117.086,77.824,0.417,37.665,1.817,1.676,0.253,60.266,27451.946,86068.531,16.547,1587636.565
2021-Q3,2.146,11.911,94.127,73437.692,70.775,0.414,36.141,3.859,3.297,0.301,59.699,16553.732,78919.105,22.929,1601895.206
2021-Q4,1.924,11.796,94.398,70200.639,64.826,0.447,32.543,3.942,3.362,0.235,63.28,12178.59,77297.251,28.121,1613466.601
2022-Q1,1.901,13.37,94.335,76942.33,64.09,0.43,31.563,3.76,3.197,0.186,64.491,17929.698,82488.201,28.956,1630821.83
2022-Q2,2.176,13.633,95.415,77985.253,66.045,0.459,33.766,4.258,3.626,0.195,61.781,18845.363,83979.379,27.027,1648808.331
2022-Q3,2.721,12.479,95.455,85944.428,68.627,0.454,33.413,4.772,4.126,0.242,61.573,21422.38,87794.85,24.925,1666487.54
2022-Q4,3.447,11.869,94.525,81619.405,67.23,0.46,31.964,4.815,3.974,0.248,62.973,12924.285,58343.441,27.334,1675297.419
2023-Q1,4.319,9.834,83.318,58587.24,60.211,0.381,28.555,3.721,3.041,0.273,67.451,-173.581,45817.792,34.708,1675959.06
2023-Q2,4.683,8.156,84.619,52134.03,62.526,0.493,32.314,4.239,3.279,0.264,63.183,-402.093,59475.872,32.225,1673074.295
2023-Q3,4.86,7.396,90.406,61404.034,65.762,0.507,34.374,4.725,3.626,0.3,60.601,2210.38,49202.546,29.769,1673172.217
2023-Q4,5.341,7.036,86.307,52943.596,66.773,0.519,34.604,5.187,3.901,0.335,59.874,423.778,45975.766,28.365,1671798.629
2024-Q1,5.05,8.376,87.901,51589.645,62.972,0.549,32.737,4.872,3.592,0.302,62.09,-1868.231,60159.83,31.823,1669970.08
2024-Q2,4.87,9.08,93.395,60204.199,66.564,0.609,36.744,5.684,4.313,0.326,57.246,6694.175,66939.102,28.586,1676305.034
2024-Q3,4.909,7.981,93.391,65532.408,72.398,0.737,37.991,6.263,4.763,0.308,55.438,10120.8,66116.913,22.797,1674741.461
2024-Q4,4.685,8.276,94.29,68774.152,71.925,0.744,37.758,6.068,4.579,0.217,55.957,11113.458,69387.677,23.543,1683406.844
2025-Q1,4.646,8.084,94.06,77560.808,74.388,0.696,39.057,6.43,4.844,0.235,54.278,19620.958,68311.455,21.302,1702420.982
2025-Q2,4.635,9.231,92.675,58760.698,65.28,0.985,36.276,6.648,4.91,0.328,56.747,6650.946,78156.273,28.992,1707083.464
2025-Q3,4.469,8.196,92.94,80438.426,66.783,0.759,37.284,7.053,5.445,0.369,55.294,16232.666,79429.755,28.556,1721260.362
2025-Q4,4.379,8.411,93.241,79388.852,70.027,0.815,38.576,7.834,6.282,0.512,53.078,15621.979,69941.098,25.42,1734434.628
